No,NIM,Pilihan 1,Pilihan 2,Peminatan,MP1,MP2,MP3
1030,1202160324,EA,EDM,EAA,4,0,0
1031,1202160325,EA,EAD,EAA,4,0,0
1032,1202160326,EDM,ISM,EDM,3,5,0,0
1033,1202160327,EA,EDM,EDM,0,0,0
1034,1202160330,Tidak Memilih,Tidak Memilih,Tidak Memilih,0,0,0
1035,1202160332,EAD,EA,EAD,0,0,3,5
1036,1202160333,ERP,TECHNO,ERP,3,5,0,0
1037,1202160338,ISM,EDM,ISM,0,0,0
1038,1202160339,ISM,EDM,ISM,4,0,0
1039,1202160340,TECHNO,EA,TECHNO,4,0,0
1040,1202160341,ERP,TECHNO,ERP,3,5,0,0
1041,1202160342,EAD,EA,EAD,0,0,3
1042,1202160347,Tidak Memilih,Tidak Memilih,Tidak Memilih,0,0,0
1043,1202160352,Tidak Memilih,Tidak Memilih,Tidak Memilih,0,0,0
1044,1202160353,EA,EAD,EAA,3,5,0,0
1045,1202160354,Tidak Memilih,Tidak Memilih,Tidak Memilih,0,0,0
1046,1202160355,Tidak Memilih,Tidak Memilih,Tidak Memilih,0,0,0
1047,1202160357,Tidak Memilih,Tidak Memilih,Tidak Memilih,0,0,0
1048,1202160358,EIM,EDM,EDM,0,0,0
1049,1202160360,EDM,EA,EDM,3,5,0,0
1050,1202160362,ISM,TECHNO,ISM,0,0,0
1051,1202160365,ERP,ERP,ERP,3,5,0,0
1052,1202160370,EA,EDM,EDM,0,0,0
1053,1202160372,EDM,ISM,EDM,3,5,0,0
1054,1202160375,EA,EDM,EDM,0,0,0
1055,1202160380,EIM,EAD,EIM,3,0,0
1056,1202160381,EAD,ISM,EAD,0,0,3
1057,1202160382,EIM,EDM,EIM,3,5,0,0
1058,1202160383,EA,EAD,EAA,3,5,0,0
1059,1202160385,EDM,EA,EDM,3,5,0,0
1060,1202160396,ISM,ISM,ISM,0,3,0
1061,1202160398,ISM,TECHNO,ISM,0,3,5,0
1062,1202160400,Tidak Memilih,Tidak Memilih,Tidak Memilih,0,0,0
1063,1202161228,TECHNO,EA,TECHNO,4,0,0
1064,1202162004,EIM,EDM,EIM,2,5,0,0
1065,1202162006,ISM,EAD,ISM,0,4,0
1066,1202162042,EAD,ERP,EAD,0,0,3
1067,1202162097,TECHNO,EIM,TECHNO,4,0,0
