No,NIM,OOP,RPB,RPL,PI,APSI,WEB,Statistik,Matdis,Alpro,Strukdat,SE,PO,SCM,EA,Basdat,Manjarkom,Sisop,MSDM,Desjar,KSI,Pilihan 1,Peminatan,MP1,MP2,MP3,Status,Tanggal Lulus,Keterangan
50,1202150056,0,0,0,0,0,0,0,0,0,0,4,3.5,0,0,0,0,0,0,0,0,OUT,OUT,0,0,0,RESIGN,OUT,TIDAK TEPAT WAKTU
51,1202150057,2,3,3,3.5,2.5,3,1,1,2,2,3.5,2,2.5,3,3,2,3.5,3,2,3.5,EIM,EIM,3.5,4,3.5,GRADUATED,05/07/19,TEPAT WAKTU
52,1202150058,2.5,3.5,3.5,3.5,3,2.5,3,2,1,3.5,3.5,4,4,3.5,3,2.5,3.5,3.5,2.5,2,ERP,ERP,4,4,3.5,GRADUATED,16/08/19,TEPAT WAKTU
53,1202150059,3.5,2.5,4,3.5,3.5,0,3,0,2.5,3,3.5,4,2.5,3,3.5,2,2.5,2,3,2.5,OUT,OUT,0,0,0,STUDENT,OUT,TIDAK TEPAT WAKTU
54,1202150060,2,3,0,3.5,3.5,1,2,1,3.5,2,3,4,2.5,0,2.5,2,0,0,3.5,0,OUT,OUT,0,0,0,STUDENT,OUT,TIDAK TEPAT WAKTU
55,1202150061,2.5,2.5,4,2.5,4,2.5,2,1,3,3.5,3.5,4,4,3.5,2,2,2.5,3,3.5,3.5,ERP,ERP,2.5,2,3.5,GRADUATED,16/08/19,TEPAT WAKTU
56,1202150062,3,2,3.5,0,3,1,1,0,3.5,0,2,3.5,1,2.5,1,2,2,0,2,2,EA,EA,2.5,0,0,STUDENT,OUT,TIDAK TEPAT WAKTU
57,1202150063,3.5,3,3,4,3.5,2.5,4,2,3,4,3,3.5,3.5,3.5,3,3.5,3.5,3.5,3.5,3.5,ISM,ISM,4,4,3.5,GRADUATED,05/07/19,TEPAT WAKTU
58,1202150064,3.5,2.5,4,3.5,3.5,3,3,3,2.5,3.5,4,4,3.5,3.5,3.5,3.5,3,3.5,3,3.5,ERP ,ERP ,4,3.5,3.5,GRADUATED,16/08/19,TEPAT WAKTU
59,1202150065,2.5,3.5,2.5,3.5,3.5,2.5,3.5,4,3.5,3,3.5,3,4,3.5,3.5,3.5,3,4,3.5,3.5,ERP,ERP,4,4,4,GRADUATED,30/08/19,TEPAT WAKTU
60,1202150066,2.5,3.5,4,3,3,3.5,3,3,3.5,3.5,3,4,3.5,3.5,3.5,2.5,4,3.5,3,3.5,EIM,EIM,3.5,4,3.5,GRADUATED,16/08/19,TEPAT WAKTU
61,1202150067,3,3.5,4,3.5,3.5,3,3.5,3,3,4,3.5,4,3.5,3.5,3.5,2.5,3.5,3.5,3.5,3.5,ERP,ERP,3.5,3.5,4,GRADUATED,10/07/19,TEPAT WAKTU
62,1202150068,3.5,4,3.5,4,4,3.5,3.5,2.5,4,4,3.5,4,4,3.5,3.5,3.5,3.5,3.5,3.5,3.5,TECHNO,TECHNO,3.5,3,3,GRADUATED,30/08/19,TEPAT WAKTU
63,1202150069,3.5,3.5,0,4,4,3,4,3.5,3.5,3.5,4,4,4,3.5,3,4,3.5,3.5,4,0,ERP,ERP,3.5,3.5,3.5,STUDENT,OUT,TIDAK TEPAT WAKTU
64,1202150070,2.5,2.5,2,0,3,2.5,2,0,2,3.5,2,4,3,2,2,2,2,3,3.5,3.5,EA,EA,4,0,2.5,STUDENT,OUT,TIDAK TEPAT WAKTU
65,1202150071,3.5,2,3.5,3.5,3.5,3,3.5,2.5,4,4,3.5,3.5,3.5,3,3.5,4,4,3.5,4,4,EIM,EIM,3.5,4,4,GRADUATED,05/07/19,TEPAT WAKTU
66,1202150072,4,3.5,3.5,3.5,3.5,3.5,3,4,4,3.5,4,4,4,3.5,4,3.5,3.5,3.5,3.5,3.5,ERP,ERP,3.5,3.5,3.5,GRADUATED,30/08/19,TEPAT WAKTU
67,1202150073,2,2,0,3.5,2.5,3,2,1,2,3,3.5,3,2.5,2.5,2,2,2,0,2.5,2,ERP,ERP,3,3.5,3.5,STUDENT,OUT,TIDAK TEPAT WAKTU
68,1202150074,2.5,3.5,3.5,4,3,2.5,1,1,4,3.5,3.5,4,3.5,3.5,3.5,2,3.5,3.5,3.5,2.5,EDM,EDM,3.5,4,4,GRADUATED,30/08/19,TEPAT WAKTU
69,1202150075,3.5,2.5,3.5,3.5,3.5,3.5,2,1,3.5,3.5,3,4,3.5,3.5,3,3.5,3,2.5,3,3,EDM,EDM,4,4,3.5,GRADUATED,05/07/19,TEPAT WAKTU
70,1202150076,2,3,3,3.5,4,2.5,1,0,2.5,3.5,2.5,4,4,3,3,2.5,2.5,3.5,3.5,3.5,EA,EA,4,3.5,3,GRADUATED,28/06/19,TEPAT WAKTU
71,1202150077,3.5,2,4,2,3.5,2.5,2,2.5,2,3,3.5,4,3,3,2.5,2,3,2.5,3,3.5,TECHNO,TECHNO,3.5,4,4,GRADUATED,30/08/19,TEPAT WAKTU
