,NIM,Technopreneur,EAD,ERP,EDM,EA,ISM,EIM,Peminatan,Keterangan
263,1202174135,1,1,1,1,1,1,1,EDM,Cocok
264,1202174137,1,1,1,1,1,1,1,EAD,Cocok
265,1202174138,1,1,1,0,1,1,0,EAD,Cocok
266,1202174142,1,1,1,1,1,1,1,ERP,Cocok
267,1202174143,1,1,1,1,1,1,1,EDM,Cocok
268,1202174145,1,1,1,1,1,1,1,ISM,Cocok
269,1202174146,1,1,1,1,1,1,1,TECHNO,Cocok
270,1202174149,1,1,1,1,1,1,1,EA,Cocok
271,1202174151,1,1,1,1,1,0,1,EDM,Cocok
272,1202174153,1,1,1,1,1,1,1,EAD,Cocok
273,1202174155,1,1,0,0,1,1,0,EAD,Cocok
274,1202174157,1,1,1,1,1,1,1,EA,Cocok
275,1202174158,0,0,1,0,0,1,1,0,0
276,1202174159,1,1,1,1,1,1,1,EA,Cocok
277,1202174161,1,1,1,1,1,1,1,ISM,Cocok
278,1202174164,1,0,1,0,0,1,0,ERP,Cocok
279,1202174167,1,1,1,1,1,1,1,ISM,Cocok
280,1202174170,1,1,1,1,1,1,1,ISM,Cocok
281,1202174171,1,1,1,1,1,1,1,EAD,Cocok
282,1202174172,1,1,1,0,1,1,0,EDM,Tidak Cocok
283,1202174174,1,1,1,1,1,1,1,ERP,Cocok
284,1202174175,1,1,1,1,1,1,1,EIM,Cocok
285,1202174179,1,0,0,1,0,1,1,EDM,Cocok
286,1202174181,1,1,1,1,1,1,1,EIM,Cocok
287,1202174183,1,1,1,1,1,1,1,EAD,Cocok
288,1202174185,1,1,1,0,0,1,0,EAD,Cocok
289,1202174189,1,1,1,1,1,1,1,0,0
290,1202174191,0,0,0,0,0,0,0,EAD,Tidak Cocok
291,1202174195,1,1,1,1,1,1,1,TECHNO,Cocok
292,1202174196,0,0,1,0,1,1,0,0,0
293,1202174197,1,1,1,1,1,1,1,EAD,Cocok
294,1202174198,1,1,1,0,1,1,1,0,0
295,1202174199,1,1,1,1,1,1,1,EIM,Cocok
296,1202174200,1,1,1,1,1,1,1,EA,Cocok
297,1202174201,1,1,1,1,1,1,1,EIM,Cocok
298,1202174202,1,1,1,1,1,1,1,EA,Cocok
299,1202174203,1,1,1,1,1,1,1,EA,Cocok
300,1202174204,0,0,0,0,0,1,0,EIM,Tidak Cocok
301,1202174205,0,0,0,0,0,1,0,EIM,Tidak Cocok
302,1202174208,1,1,0,1,1,1,1,EAD,Cocok
303,1202174209,0,0,1,0,0,0,0,TECHNO,Tidak Cocok
304,1202174210,1,1,1,1,1,1,1,EAD,Cocok
305,1202174212,1,1,1,1,1,1,1,EDM,Cocok
306,1202174216,1,1,1,0,0,1,0,EDM,Tidak Cocok
307,1202174218,1,1,1,0,1,1,1,ISM,Cocok
308,1202174219,1,1,1,1,1,1,1,ERP,Cocok
309,1202174220,1,0,1,1,0,1,1,EDM,Cocok
310,1202174221,1,0,1,1,0,1,1,ISM,Cocok
311,1202174223,0,0,1,0,1,1,1,ERP,Cocok
312,1202174224,1,1,1,1,1,1,1,ERP,Cocok
313,1202174225,1,1,1,1,1,1,1,ISM,Cocok
314,1202174227,1,1,1,0,0,0,1,TECHNO,Cocok
315,1202174233,1,1,1,1,1,1,1,EIM,Cocok
316,1202174235,1,1,1,1,1,1,1,EA,Cocok
317,1202174238,1,1,1,0,1,1,0,TECHNO,Cocok
318,1202174239,1,1,1,1,1,1,1,ERP,Cocok
319,1202174241,1,1,1,1,1,1,1,EIM,Cocok
320,1202174245,1,1,1,1,1,1,1,ERP,Cocok
321,1202174246,1,1,1,1,1,1,1,EAD,Cocok
322,1202174252,1,1,1,0,1,1,1,EAD,Cocok
323,1202174253,1,1,1,0,1,1,1,EA,Cocok
324,1202174254,1,0,1,0,0,1,0,ISM,Cocok
325,1202174255,1,1,1,1,1,1,1,ERP,Cocok
326,1202174259,1,1,1,1,1,1,1,EIM,Cocok
327,1202174264,1,1,1,1,1,1,1,TECHNO,Cocok
328,1202174266,1,1,1,1,1,1,1,EDM,Cocok
329,1202174267,1,0,1,1,0,1,1,EDM,Cocok
330,1202174269,0,0,1,1,1,1,1,EIM,Cocok
331,1202174271,1,1,1,1,1,1,1,EAD,Cocok
332,1202174274,1,1,1,1,1,1,1,EDM,Cocok
333,1202174275,1,0,0,1,0,1,1,TECHNO,Cocok
334,1202174278,1,1,1,0,1,1,1,ISM,Cocok
335,1202174281,1,1,1,0,1,1,1,EA,Cocok
336,1202174282,1,1,1,1,1,1,1,ISM,Cocok
337,1202174284,1,1,1,0,1,1,1,ISM,Cocok
338,1202174288,1,1,1,1,1,1,1,EDM,Cocok
339,1202174290,0,0,0,0,0,0,0,0,0
340,1202174292,1,1,1,1,1,1,1,EDM,Cocok
341,1202174294,1,1,1,1,1,1,1,ISM,Cocok
342,1202174295,1,1,1,1,1,1,1,ISM,Cocok
343,1202174296,1,0,0,0,0,1,0,ERP,Tidak Cocok
344,1202174299,1,1,1,1,1,1,1,EA,Cocok
345,1202174302,1,1,1,1,1,1,1,ERP,Cocok
346,1202174309,1,1,0,1,1,1,1,EA,Cocok
347,1202174310,1,1,1,1,1,1,1,ISM,Cocok
348,1202174311,1,1,1,1,1,1,0,EDM,Cocok
349,1202174313,1,1,1,1,1,1,1,EIM,Cocok
350,1202174318,1,1,1,1,1,1,1,EAD,Cocok
351,1202174320,0,0,0,0,0,1,0,EDM,Tidak Cocok
352,1202174321,1,1,1,1,1,1,1,TECHNO,Cocok
353,1202174322,1,1,1,1,0,1,0,TECHNO,Cocok
354,1202174324,1,1,1,1,1,1,1,EDM,Cocok
355,1202174325,1,1,1,1,1,1,0,EAD,Cocok
356,1202174326,1,1,1,1,1,1,1,EDM,Cocok
357,1202174335,1,1,1,0,1,1,1,EDM,Tidak Cocok
358,1202174342,0,0,1,0,0,1,1,ISM,Cocok
359,1202174345,1,1,1,1,1,1,1,ERP,Cocok
360,1202174351,1,1,1,0,1,1,1,EAD,Cocok
361,1202174352,0,0,1,1,0,1,1,EAD,Tidak Cocok
362,1202174354,1,1,1,1,1,1,1,ERP,Cocok
363,1202174355,1,1,1,1,1,1,1,EA,Cocok
364,1202174359,1,1,1,1,1,1,1,EAD,Cocok
365,1202174368,0,0,1,1,1,1,1,EIM,Cocok
366,1202174372,1,1,1,1,1,1,1,EDM,Cocok
367,1202174374,1,1,0,0,0,1,0,TECHNO,Cocok
368,1202174375,1,0,1,1,1,1,1,ERP,Cocok
369,1202174376,0,0,0,0,0,0,0,TECHNO,Tidak Cocok
370,1202174378,1,1,1,1,1,1,1,EAD,Cocok
371,1202174388,1,1,1,1,1,1,1,EAD,Cocok
372,1202174390,1,1,1,1,1,1,1,TECHNO,Cocok
373,1202174399,0,1,1,0,1,1,1,EA,Cocok
22,1202183388,1,1,1,1,1,1,1,0,0
