,No,NIM,OOP,RPB,PI,APSI,WEB,Statistik,Matdis,Alpro,Strukdat,SE,PO,SCM,EA,Basdat,Manjarkom,Sisop,MSDM,Desjar,Manprosi,Lulus Tepat Waktu
78,79,1202160171,3.5,3.5,3.5,4.0,3.5,2.0,2.5,3.5,2.5,2.5,3.0,4.0,3.0,4.0,3.0,3.5,3.0,2.5,2.5,1
79,80,1202160173,4.0,3.5,3.0,3.5,3.5,2.5,3.5,3.5,3.0,3.5,2.0,3.0,3.5,3.5,3.5,3.0,3.5,3.0,3.0,1
80,81,1202160178,3.0,3.5,3.5,4.0,3.5,3.0,3.0,3.5,2.5,3.0,3.0,4.0,3.5,3.5,3.0,3.0,4.0,3.5,2.5,1
81,82,1202160179,3.0,3.0,3.5,3.5,3.5,2.5,4.0,2.5,3.5,3.5,3.0,4.0,3.5,4.0,3.5,3.5,3.5,3.0,2.5,1
82,83,1202160180,3.5,3.0,3.5,3.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,3.5,3.0,3.5,2.5,3.5,0.0,2.0,2.5,1
83,84,1202160182,3.5,4.0,3.5,3.5,3.5,3.5,3.5,4.0,2.5,3.5,3.0,3.5,4.0,4.0,3.5,2.5,3.5,3.5,3.0,1
84,85,1202160183,3.0,0.0,2.0,3.5,2.0,2.5,2.0,2.0,2.0,2.0,1.0,3.0,2.5,2.0,3.5,2.0,2.0,3.5,1.0,0
85,86,1202160184,4.0,3.5,4.0,4.0,3.5,3.5,3.5,4.0,3.5,3.5,3.5,3.5,4.0,4.0,2.0,4.0,3.5,3.5,3.5,1
86,87,1202160185,3.5,2.5,3.5,4.0,4.0,3.0,3.0,4.0,3.5,3.0,3.5,3.5,4.0,3.0,3.0,3.5,3.5,2.5,2.5,1
87,88,1202160186,3.5,3.0,3.5,3.0,3.0,2.0,2.5,3.5,3.5,3.0,3.5,3.5,3.5,2.5,3.5,2.5,3.5,3.5,2.5,1
88,89,1202160190,3.0,3.5,2.0,3.0,2.0,3.0,2.0,3.5,2.0,3.0,2.0,1.0,2.5,3.5,3.5,2.0,2.0,3.5,2.0,1
89,90,1202160191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0
90,91,1202160192,2.5,3.5,3.5,4.0,2.5,2.5,3.0,3.5,3.5,2.5,2.5,0.0,3.5,2.5,2.0,2.0,2.5,3.0,2.0,1
91,92,1202160195,3.0,2.0,3.5,3.5,0.0,1.0,2.5,3.0,2.0,3.0,2.5,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0
92,93,1202160196,3.5,3.5,0.0,3.5,3.5,2.0,2.0,3.5,2.5,3.5,2.5,3.5,3.0,4.0,3.0,2.5,3.0,2.5,3.0,1
93,94,1202160197,4.0,3.5,3.5,3.5,3.5,2.0,4.0,4.0,4.0,3.5,2.5,3.5,2.0,4.0,3.0,4.0,2.0,3.0,3.0,1
94,95,1202160200,3.5,3.0,3.5,3.5,4.0,3.0,2.5,4.0,3.5,3.5,3.5,3.0,3.5,3.0,2.0,3.5,3.5,4.0,2.5,1
95,96,1202160202,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,3.5,3.5,2.0,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,1
96,97,1202160205,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.5,4.0,3.5,2.5,3.5,4.0,4.0,4.0,4.0,3.5,3.5,3.5,1
97,98,1202160206,3.5,3.5,3.5,2.5,2.0,3.0,2.0,3.5,2.0,3.0,2.0,0.0,3.0,3.0,2.5,2.0,2.5,3.5,2.5,0
98,99,1202160210,3.5,3.0,0.0,3.5,3.5,1.0,3.5,4.0,2.5,3.0,3.0,3.0,3.0,3.0,3.5,2.0,3.0,2.5,2.5,0
99,100,1202160212,3.5,3.5,3.5,3.5,2.5,3.0,3.0,3.5,2.5,3.0,3.0,3.0,3.5,4.0,3.0,3.0,3.0,2.0,3.0,1
100,101,1202160214,4.0,4.0,4.0,3.5,4.0,3.0,2.5,4.0,4.0,3.0,2.5,3.5,4.0,4.0,3.5,3.5,3.5,4.0,2.5,1
101,102,1202160215,4.0,4.0,3.5,3.5,3.0,4.0,4.0,4.0,3.5,3.5,3.0,4.0,4.0,3.5,3.5,3.5,4.0,4.0,3.5,1
102,103,1202160216,3.0,3.5,3.5,4.0,4.0,2.5,3.5,4.0,3.5,3.0,2.5,3.5,3.5,3.0,2.0,3.0,3.5,3.5,3.5,1
103,104,1202160217,0.0,0.0,0.0,0.0,0.0,0.0,3.5,3.5,0.0,3.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0
104,105,1202160218,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.5,0.0,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0
105,106,1202160219,0.0,0.0,0.0,0.0,0.0,0.0,2.5,3.0,0.0,3.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0
106,107,1202160222,4.0,3.5,3.5,3.5,3.5,4.0,4.0,4.0,2.5,3.5,2.5,3.0,4.0,4.0,3.5,3.0,2.5,4.0,2.0,1
107,108,1202160227,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0
108,109,1202160229,4.0,3.5,3.5,3.5,3.5,2.0,2.5,2.5,3.5,3.5,3.5,3.5,3.5,4.0,3.5,3.5,3.0,2.0,3.5,1
109,110,1202160232,0.0,3.5,3.0,3.0,0.0,2.5,3.5,2.5,2.0,2.5,2.0,2.5,0.0,2.0,2.5,0.0,0.0,3.0,0.0,0
110,111,1202160234,2.5,3.0,3.5,3.5,3.0,3.0,3.5,3.5,3.5,2.5,2.5,4.0,3.5,3.0,3.5,3.5,3.5,3.0,2.0,1
111,112,1202160236,3.5,3.0,3.5,3.5,3.5,2.5,3.0,3.0,3.5,3.0,3.5,3.5,3.5,2.5,3.5,3.5,3.5,2.5,3.0,1
