No,NIM,OOP,RPB,RPL,PI,APSI,WEB,Statistik,Matdis,Alpro,Strukdat,SE,PO,SCM,EA,Basdat,Manjarkom,Sisop,MSDM,Desjar,KSI,Pilihan 1,Pilihan 2,Peminatan
62,1202160127,3.5,3.5,0,3.5,4,3.5,3.5,4,4,3.5,3.5,3,3.5,3.5,3,3,3,3.5,3.5,0,EAD,EA,EAD
63,1202160130,3.5,3,0,3.5,3,3.5,3,4,3,3.5,3.5,3,3.5,3.5,3.5,2.5,3.5,3.5,2.5,0,ERP,EAD,ERP
64,1202160132,4,3.5,0,3.5,3.5,3.5,3,4,3.5,3,3.5,2.5,3.5,3.5,4,3.5,4,3.5,3.5,0,EIM,EDM,EIM
65,1202160133,4,4,0,4,3,3.5,3.5,4,3.5,2.5,3.5,3,3.5,4,4,3.5,3,3.5,4,0,EA,EDM,EAA
66,1202160134,3,3.5,0,3.5,2.5,2,2,2.5,3.5,2,3.5,1,0,2,2.5,3.5,3.5,3.5,3.5,0,EIM,TECHNO,EIM
67,1202160135,3.5,4,0,4,4,3.5,4,4,3.5,3.5,4,3,4,4,3.5,1,2.5,3.5,3.5,0,ISM,EAD,ISM
68,1202160138,3.5,3.5,0,4,3.5,3.5,3.5,3.5,3.5,3,3,3,3.5,3.5,3.5,3,3.5,3,2.5,0,ERP,EDM,ERP
69,1202160141,3.5,2.5,0,3,2,2,2,1,3.5,2,2,2.5,1,3,3,2.5,2,3,3,0,TECHNO,EA,TECHNO
70,1202160145,3.5,2.5,0,3.5,3.5,3.5,2,3,4,3.5,3.5,4,3.5,2.5,3.5,4,4,3.5,4,0,EIM,EIM,EIM
71,1202160148,3.5,3.5,0,3.5,3.5,2.5,2.5,2,3.5,2.5,3,2,3.5,2,3.5,3,3,3,2,0,TECHNO,ISM,TECHNO
72,1202160151,3.5,3.5,0,3.5,4,3.5,4,4,3.5,3.5,3.5,3,4,4,3.5,2,3.5,3.5,3.5,0,ERP,ERP,ERP
73,1202160153,3.5,0,0,1,2,0,1,4,3,1,3.5,2,0,0,1,2,0,0,3,0,ISM,TECHNO,ERP
74,1202160154,3,3.5,0,3.5,3.5,3.5,2,3,3,3,3.5,3,2.5,3.5,3,3,3.5,3.5,2,0,EA,EDM,EAA
75,1202160155,4,4,0,4,3.5,3.5,2.5,3,2,2.5,3,2.5,3.5,3.5,4,3,3.5,3.5,3,0,EA,EAD,EAA
76,1202160160,2.5,3,0,3.5,4,3,2,4,4,3,3,2.5,3.5,3.5,3.5,1,2.5,3.5,2.5,0,ISM,EDM,ISM
77,1202160167,3.5,4,0,3.5,3.5,3.5,2.5,3,4,2,3.5,3,3,3,2.5,2.5,3.5,3.5,4,0,EAD,EA,EAD
78,1202160169,2.5,3.5,0,3,4,3,0,2,3.5,3,2.5,2,2.5,3.5,2.5,1,2,3,2,0,ERP,ERP,ERP
79,1202160171,3.5,3.5,0,3.5,4,3.5,2,2.5,3.5,2.5,2.5,3,4,3,4,3,3.5,3,2.5,0,ERP,TECHNO,ERP
80,1202160173,4,3.5,0,3,3.5,3.5,2.5,3.5,3.5,3,3.5,2,3,3.5,3.5,3.5,3,3.5,3,0,EA,EDM,EAA
81,1202160178,3,3.5,0,3.5,4,3.5,3,3,3.5,2.5,3,3,4,3.5,3.5,3,3,4,3.5,0,EA,EDM,EAA
82,1202160179,3,3,0,3.5,3.5,3.5,2.5,4,2.5,3.5,3.5,3,4,3.5,4,3.5,3.5,3.5,3,0,ERP,ERP,ERP
83,1202160180,3.5,3,0,3.5,3,3,2,2,2,2,3,2,3.5,3,3.5,2.5,3.5,0,2,0,EDM,EDM,EDM
84,1202160182,3.5,4,0,3.5,3.5,3.5,3.5,3.5,4,2.5,3.5,3,3.5,4,4,3.5,2.5,3.5,3.5,0,ERP,EDM,ERP
85,1202160183,3,0,0,2,3.5,2,2.5,2,2,2,2,1,3,2.5,2,3.5,2,2,3.5,0,EDM,ISM,EDM
86,1202160184,4,3.5,0,4,4,3.5,3.5,3.5,4,3.5,3.5,3.5,3.5,4,4,2,4,3.5,3.5,0,EDM,EDM,EDM
87,1202160185,3.5,2.5,0,3.5,4,4,3,3,4,3.5,3,3.5,3.5,4,3,3,3.5,3.5,2.5,0,EAD,EA,EAD
88,1202160186,3.5,3,0,3.5,3,3,2,2.5,3.5,3.5,3,3.5,3.5,3.5,2.5,3.5,2.5,3.5,3.5,0,TECHNO,ISM,TECHNO
89,1202160190,3,3.5,0,2,3,2,3,2,3.5,2,3,2,1,2.5,3.5,3.5,2,2,3.5,0,EIM,TECHNO,EIM
90,1202160191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
91,1202160192,2.5,3.5,0,3.5,4,2.5,2.5,3,3.5,3.5,2.5,2.5,0,3.5,2.5,2,2,2.5,3,0,EDM,ISM,EDM
92,1202160195,3,2,0,3.5,3.5,0,1,2.5,3,2,3,2.5,0,0,1,2,0,0,2,0,EA,EAD,EAD
93,1202160196,3.5,3.5,0,0,3.5,3.5,2,2,3.5,2.5,3.5,2.5,3.5,3,4,3,2.5,3,2.5,0,ISM,EDM,ISM
94,1202160197,4,3.5,0,3.5,3.5,3.5,2,4,4,4,3.5,2.5,3.5,2,4,3,4,2,3,0,EDM,EIM,EDM
95,1202160200,3.5,3,0,3.5,3.5,4,3,2.5,4,3.5,3.5,3.5,3,3.5,3,2,3.5,3.5,4,0,EDM,ISM,EDM
96,1202160202,4,4,0,4,4,4,2,4,4,3.5,3.5,2,3.5,3.5,3.5,3.5,3.5,3.5,3.5,0,TECHNO,ISM,TECHNO
97,1202160205,4,4,0,4,4,4,3,4,3.5,4,3.5,2.5,3.5,4,4,4,4,3.5,3.5,0,TECHNO,EA,TECHNO
98,1202160206,3.5,3.5,0,3.5,2.5,2,3,2,3.5,2,3,2,0,3,3,2.5,2,2.5,3.5,0,TECHNO,EIM,TECHNO
99,1202160210,3.5,3,0,0,3.5,3.5,1,3.5,4,2.5,3,3,3,3,3,3.5,2,3,2.5,0,EA,EDM,EDM
100,1202160212,3.5,3.5,0,3.5,3.5,2.5,3,3,3.5,2.5,3,3,3,3.5,4,3,3,3,2,0,EAD,EA,EAD
101,1202160214,4,4,0,4,3.5,4,3,2.5,4,4,3,2.5,3.5,4,4,3.5,3.5,3.5,4,0,EAD,EA,EAD
102,1202160215,4,4,0,3.5,3.5,3,4,4,4,3.5,3.5,3,4,4,3.5,3.5,3.5,4,4,0,ERP,EAD,ERP
103,1202160216,3,3.5,0,3.5,4,4,2.5,3.5,4,3.5,3,2.5,3.5,3.5,3,2,3,3.5,3.5,0,EIM,EAD,EIM
104,1202160217,0,0,0,0,0,0,0,3.5,3.5,0,3.5,3,0,0,0,0,0,0,0,0,0,0,
105,1202160218,0,0,0,0,0,0,0,4,3.5,0,3.5,3.5,0,0,0,0,0,0,0,0,0,0,
106,1202160219,0,0,0,0,0,0,0,2.5,3,0,3.5,2.5,0,0,0,0,0,0,0,0,0,0,
107,1202160222,4,3.5,0,3.5,3.5,3.5,4,4,4,2.5,3.5,2.5,3,4,4,3.5,3,2.5,4,0,EA,EDM,EAA
108,1202160227,0,0,0,0,0,0,0,2,3,0,3,2,0,0,0,0,0,0,0,0,0,0,
109,1202160229,4,3.5,0,3.5,3.5,3.5,2,2.5,2.5,3.5,3.5,3.5,3.5,3.5,4,3.5,3.5,3,2,0,TECHNO,EIM,TECHNO
110,1202160232,0,3.5,0,3,3,0,2.5,3.5,2.5,2,2.5,2,2.5,0,2,2.5,0,0,3,0,ISM,EDM,EDM
111,1202160234,2.5,3,0,3.5,3.5,3,3,3.5,3.5,3.5,2.5,2.5,4,3.5,3,3.5,3.5,3.5,3,0,EIM,TECHNO,EIM
112,1202160236,3.5,3,0,3.5,3.5,3.5,2.5,3,3,3.5,3,3.5,3.5,3.5,2.5,3.5,3.5,3.5,2.5,0,EA,EAD,EAD
113,1202160237,3.5,3.5,0,3.5,3.5,2.5,2.5,2,3.5,2.5,3,2,3.5,2.5,4,3.5,2,3.5,2.5,0,TECHNO,ISM,TECHNO
114,1202160240,2.5,3.5,0,3.5,3.5,2.5,2.5,1,3.5,3.5,3.5,2,3,3.5,2.5,3,3,4,4,0,EA,TECHNO,EA
115,1202160247,0,0,0,0,0,0,0,0,1,0,2.5,0,0,0,0,0,0,0,0,0,0,0,
116,1202160248,3.5,4,0,3.5,4,3,3.5,4,4,3.5,2.5,2,4,3.5,3,3.5,3.5,3.5,4,0,0,0,
117,1202160251,4,4,0,4,4,4,3.5,4,4,4,4,4,4,3.5,3.5,3.5,4,4,3.5,0,EIM,EDM,EIM
118,1202160253,4,3.5,0,4,4,4,3.5,4,4,4,3.5,3.5,3.5,3.5,4,3.5,4,3.5,3.5,0,TECHNO,EIM,TECHNO
119,1202160255,3,3.5,0,2.5,3.5,3.5,0,1,2.5,3,2,2,1,2,0,3.5,3.5,2.5,2,0,EAD,EIM,EAD
120,1202160256,3.5,4,0,4,3.5,3.5,3.5,4,3.5,2.5,3.5,3.5,3.5,4,4,3.5,3.5,4,3.5,0,ERP,EDM,ERP
121,1202160257,2,3,0,2,2,2,2.5,1,3.5,3,2.5,2,0,2.5,1,2.5,2,3,3,0,ISM,EAD,ISM
122,1202160258,3.5,3.5,0,4,4,4,4,3.5,4,3.5,3.5,3.5,4,4,3.5,3,3,4,3.5,0,EA,EAD,EAA
123,1202160262,3,2.5,0,0,3,2,0,2.5,2,2.5,2.5,3,2.5,2,3,2,2,2.5,2,0,0,0,
124,1202160264,4,4,0,4,3.5,3.5,3.5,2,4,3.5,4,3.5,3,3.5,4,4,3.5,4,4,0,ERP,EAD,ERP
125,1202160265,2.5,0,0,2,2.5,0,2,2,4,2,3.5,2,2,0,0,2.5,0,0,3,0,ISM,ISM,ISM
126,1202160266,3.5,3.5,0,3.5,4,4,2,3,3.5,3.5,3,2.5,3,3.5,2,2,3,3.5,3,0,EAD,ISM,EAD
127,1202160267,3,2.5,0,3.5,4,3.5,1,1,3.5,3,2.5,2.5,2.5,3.5,3,2.5,2.5,3.5,2.5,0,EAD,EIM,EAD
128,1202160268,3.5,3,0,3.5,3,3,2,2.5,3.5,3,2.5,3.5,3,3,3,3,2,3,3,0,ISM,EDM,ISM
129,1202160269,3.5,3,0,3.5,3.5,4,2,2,2.5,3,3,2.5,3,3.5,3,3.5,3,3.5,2.5,0,EAD,EA,EAD
130,1202160277,3.5,3.5,0,4,3.5,4,3.5,4,4,3.5,3.5,3,4,3.5,3.5,3,4,3.5,2.5,0,ERP,TECHNO,ERP
131,1202160278,2.5,2,0,3.5,3.5,2,1,1,2,3,2,1,2,2,3.5,2.5,2,2,2,0,ISM,EAD,ISM
132,1202160281,4,3.5,0,3.5,3.5,2.5,3,1,4,3,3.5,2.5,2.5,3.5,4,3.5,3,3.5,3.5,0,EA,EDM,EAA
133,1202160282,3.5,4,0,4,3.5,2.5,3.5,4,4,3,3.5,3,4,4,3.5,3,3,4,3.5,0,ERP,TECHNO,ERP
134,1202160283,4,4,0,3.5,4,4,3.5,4,4,4,3.5,2.5,3.5,3.5,3.5,2.5,3.5,3.5,3.5,0,TECHNO,EIM,TECHNO
135,1202160288,4,4,0,3.5,4,2.5,4,4,4,4,4,3.5,4,3.5,4,3.5,3.5,4,3.5,0,ERP,TECHNO,ERP
136,1202160292,3.5,3.5,0,3.5,4,3.5,4,3.5,4,3.5,3.5,3.5,3.5,4,3.5,3,3,3.5,3.5,0,EA,EDM,EAA
137,1202160293,4,3.5,0,4,4,4,4,4,4,4,4,4,4,3.5,3.5,3.5,4,4,3.5,0,EDM,ERP,EDM
138,1202160294,4,3.5,0,3.5,3.5,4,4,3,4,3.5,3.5,3,4,3.5,4,4,4,3.5,3.5,0,EAD,EA,EAD
139,1202160295,3,2.5,0,0,3,2.5,1,0,2,1,2.5,2,1,3,3,3,3.5,3,2,0,0,0,
140,1202160297,0,0,0,0,1,0,2,2,3,0,2,2,0,0,0,2,0,0,2,0,0,0,
141,1202160299,2.5,3.5,0,3,3.5,3.5,1,3.5,2.5,3,3,2.5,3,3.5,2.5,2,3,3.5,3,0,EIM,TECHNO,EIM
142,1202160300,2.5,3.5,0,3.5,4,3,1,2.5,3.5,3.5,3,3,3.5,3.5,3,1,3.5,3.5,2.5,0,0,0,
143,1202160303,4,4,0,4,3.5,4,4,4,4,4,4,3.5,3.5,3.5,4,3.5,4,3.5,3.5,0,ERP,EAD,ERP
144,1202160308,3.5,3,0,0,3.5,2,0,2.5,3.5,3,2.5,2.5,3,2.5,2,1,2,2,2,0,EAD,EIM,EAD
145,1202160313,2,0,0,3,0,1,2,2,1,0,3.5,2.5,2,2,2,2,2,1,3,0,ISM,EAD,ISM
146,1202160316,3.5,3,0,3.5,4,3.5,2.5,3,4,3,3.5,3,3,4,2.5,2,3.5,3,3.5,0,EIM,EIM,EIM
147,1202160320,3,3,0,2,3.5,3,3.5,3,3.5,2.5,3,3,3,3.5,2,2,2.5,3.5,3,0,TECHNO,ISM,TECHNO
148,1202160321,3.5,3,0,3.5,2,3.5,3,2.5,3.5,3.5,3.5,3,3,2.5,2.5,2.5,3.5,3,2.5,0,EAD,ERP,EAD
149,1202160322,3,3.5,0,3,3,3.5,1,3.5,2,2.5,3.5,2,2,3,3.5,3,3.5,3.5,2.5,0,ISM,TECHNO,ISM
150,1202160324,3.5,3.5,0,4,3.5,2.5,3,1,3.5,2,3.5,3,3.5,4,4,3.5,3,3.5,4,0,EA,EDM,EAA
151,1202160325,4,4,0,4,3.5,2,3.5,4,4,3,3.5,2.5,3.5,4,2.5,3.5,3.5,4,4,0,EA,EAD,EAA
152,1202160326,3.5,3.5,0,3.5,4,3.5,2,3.5,3,2.5,3.5,3.5,0,3.5,3.5,1,2.5,3.5,3.5,0,EDM,ISM,EDM
153,1202160327,2.5,2.5,0,3.5,3.5,3.5,0,1,2.5,3.5,3,2.5,3.5,3.5,3,2,2,3,2,0,EA,EDM,EDM
154,1202160330,2,1,0,0,3,1,1,2,3.5,1,2,2,2,0,0,2,2,0,2,0,0,0,
155,1202160332,4,3.5,0,4,3.5,2,3.5,2,3.5,3,3.5,2.5,2,4,3.5,3,2.5,3,3.5,0,EAD,EA,EAD
156,1202160333,3,3.5,0,3.5,3.5,2.5,3,2.5,3.5,2,3.5,2.5,3.5,0,2.5,3,2.5,3.5,3.5,0,ERP,TECHNO,ERP
157,1202160338,2,2.5,0,2,3,0,1,1,2.5,2,2.5,2,3,0,1,0,1,2,2,0,ISM,EDM,ISM
158,1202160339,3.5,3.5,0,3.5,3.5,3.5,2,3,3.5,2.5,3.5,2,2,3.5,4,3.5,3.5,3.5,2.5,0,ISM,EDM,ISM
159,1202160340,4,3.5,0,3.5,2,3.5,2.5,3.5,3.5,3.5,3.5,3,3,3.5,4,3.5,3.5,4,3.5,0,TECHNO,EA,TECHNO
160,1202160341,3.5,3.5,0,3.5,3.5,2.5,3.5,3,2.5,3,3.5,3,4,4,2.5,3,3,4,4,0,ERP,TECHNO,ERP
161,1202160342,2.5,3.5,0,3.5,3.5,3.5,3,3.5,3.5,2.5,3,2.5,3.5,3.5,2.5,2,2.5,2,3,0,EAD,EA,EAD
