No,NIM,OOP,RPB,PI,APSI,WEB,Statistik,Matdis,Alpro,Strukdat,SE,PO,SCM,EA,Basdat,Manjarkom,Sisop,MSDM,Desjar,Manprosi
125,1202160265,2.5,0,2,2.5,0,2,2,4,2,3.5,2,2,0,0,2.5,0,0,3,0
126,1202160266,3.5,3.5,3.5,4,4,2,3,3.5,3.5,3,2.5,3,3.5,2,2,3,3.5,3,2.5
127,1202160267,3,2.5,3.5,4,3.5,1,1,3.5,3,2.5,2.5,2.5,3.5,3,2.5,2.5,3.5,2.5,2
128,1202160268,3.5,3,3.5,3,3,2,2.5,3.5,3,2.5,3.5,3,3,3,3,2,3,3,2
129,1202160269,3.5,3,3.5,3.5,4,2,2,2.5,3,3,2.5,3,3.5,3,3.5,3,3.5,2.5,3.5
130,1202160277,3.5,3.5,4,3.5,4,3.5,4,4,3.5,3.5,3,4,3.5,3.5,3,4,3.5,2.5,3
131,1202160278,2.5,2,3.5,3.5,2,1,1,2,3,2,1,2,2,3.5,2.5,2,2,2,2
132,1202160281,4,3.5,3.5,3.5,2.5,3,1,4,3,3.5,2.5,2.5,3.5,4,3.5,3,3.5,3.5,2
133,1202160282,3.5,4,4,3.5,2.5,3.5,4,4,3,3.5,3,4,4,3.5,3,3,4,3.5,2
134,1202160283,4,4,3.5,4,4,3.5,4,4,4,3.5,2.5,3.5,3.5,3.5,2.5,3.5,3.5,3.5,3
135,1202160288,4,4,3.5,4,2.5,4,4,4,4,4,3.5,4,3.5,4,3.5,3.5,4,3.5,3
136,1202160292,3.5,3.5,3.5,4,3.5,4,3.5,4,3.5,3.5,3.5,3.5,4,3.5,3,3,3.5,3.5,2
137,1202160293,4,3.5,4,4,4,4,4,4,4,4,4,4,3.5,3.5,3.5,4,4,3.5,3
138,1202160294,4,3.5,3.5,3.5,4,4,3,4,3.5,3.5,3,4,3.5,4,4,4,3.5,3.5,3.5
139,1202160295,3,2.5,0,3,2.5,1,0,2,1,2.5,2,1,3,3,3,3.5,3,2,3.5
140,1202160297,0,0,0,1,0,2,2,3,0,2,2,0,0,0,2,0,0,2,3.5
141,1202160299,2.5,3.5,3,3.5,3.5,1,3.5,2.5,3,3,2.5,3,3.5,2.5,2,3,3.5,3,2.5
142,1202160300,2.5,3.5,3.5,4,3,1,2.5,3.5,3.5,3,3,3.5,3.5,3,1,3.5,3.5,2.5,1
143,1202160303,4,4,4,3.5,4,4,4,4,4,4,3.5,3.5,3.5,4,3.5,4,3.5,3.5,4
144,1202160308,3.5,3,0,3.5,2,0,2.5,3.5,3,2.5,2.5,3,2.5,2,1,2,2,2,1
145,1202160313,2,0,3,0,1,2,2,1,0,3.5,2.5,2,2,2,2,2,1,3,2
146,1202160316,3.5,3,3.5,4,3.5,2.5,3,4,3,3.5,3,3,4,2.5,2,3.5,3,3.5,2.5
147,1202160320,3,3,2,3.5,3,3.5,3,3.5,2.5,3,3,3,3.5,2,2,2.5,3.5,3,2.5
148,1202160321,3.5,3,3.5,2,3.5,3,2.5,3.5,3.5,3.5,3,3,2.5,2.5,2.5,3.5,3,2.5,2.5
149,1202160322,3,3.5,3,3,3.5,1,3.5,2,2.5,3.5,2,2,3,3.5,3,3.5,3.5,2.5,3
150,1202160324,3.5,3.5,4,3.5,2.5,3,1,3.5,2,3.5,3,3.5,4,4,3.5,3,3.5,4,2.5
151,1202160325,4,4,4,3.5,2,3.5,4,4,3,3.5,2.5,3.5,4,2.5,3.5,3.5,4,4,3
152,1202160326,3.5,3.5,3.5,4,3.5,2,3.5,3,2.5,3.5,3.5,0,3.5,3.5,1,2.5,3.5,3.5,2.5
153,1202160327,2.5,2.5,3.5,3.5,3.5,0,1,2.5,3.5,3,2.5,3.5,3.5,3,2,2,3,2,2
154,1202160330,2,1,0,3,1,1,2,3.5,1,2,2,2,0,0,2,2,0,2,0
155,1202160332,4,3.5,4,3.5,2,3.5,2,3.5,3,3.5,2.5,2,4,3.5,3,2.5,3,3.5,2
156,1202160333,3,3.5,3.5,3.5,2.5,3,2.5,3.5,2,3.5,2.5,3.5,0,2.5,3,2.5,3.5,3.5,2.5
157,1202160338,2,2.5,2,3,0,1,1,2.5,2,2.5,2,3,0,1,0,1,2,2,1
158,1202160339,3.5,3.5,3.5,3.5,3.5,2,3,3.5,2.5,3.5,2,2,3.5,4,3.5,3.5,3.5,2.5,3.5
159,1202160340,4,3.5,3.5,2,3.5,2.5,3.5,3.5,3.5,3.5,3,3,3.5,4,3.5,3.5,4,3.5,1
160,1202160341,3.5,3.5,3.5,3.5,2.5,3.5,3,2.5,3,3.5,3,4,4,2.5,3,3,4,4,2.5
161,1202160342,2.5,3.5,3.5,3.5,3.5,3,3.5,3.5,2.5,3,2.5,3.5,3.5,2.5,2,2.5,2,3,2.5
162,1202160347,1,0,0,0,0,0,2,1,1,3,1,0,0,0,2,1,0,0,0
163,1202160352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,1202160353,3.5,3,3.5,4,3.5,3.5,4,3.5,3.5,3.5,3,3,3.5,3.5,3.5,3.5,3.5,3,3.5
165,1202160354,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,3.5
166,1202160355,1,0,0,0,0,0,1,1,1,2.5,1,0,0,0,2,1,0,0,3.5
167,1202160357,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.5
168,1202160358,3.5,3.5,3.5,3.5,3.5,2.5,3.5,3.5,3.5,2.5,3,3,3.5,3,1,3.5,2.5,3,2
169,1202160360,3.5,3,3.5,3.5,3.5,2,2.5,3.5,3.5,2.5,3,3.5,3,3.5,2.5,3,3.5,3,2.5
170,1202160362,2.5,2,2,2.5,1,3,1,1,1,2,1,0,2,0,2,2,0,2,1
171,1202160365,4,3.5,3,2.5,3,3.5,3.5,3.5,3,3,2.5,3,4,3.5,3,3.5,3.5,3.5,2
172,1202160370,3,2.5,2,3,3.5,2,3,3.5,3.5,2.5,3,2.5,3.5,2,1,2,4,2.5,2
173,1202160372,4,4,4,3.5,3.5,3.5,4,4,4,4,3.5,4,4,4,4,4,3.5,3,3.5
174,1202160375,2,3.5,3,3.5,2,2.5,3.5,2,0,2,2,0,3,2.5,2.5,2.5,2.5,3.5,2
175,1202160380,4,2,3,2.5,4,1,2.5,4,2,3,3.5,2,0,1,2,2.5,0,3.5,2
176,1202160381,3,2.5,3.5,3,3.5,2,3.5,3.5,2,3.5,2.5,3.5,3,3.5,3.5,4,2.5,2,2.5
177,1202160382,4,3.5,3.5,3.5,3.5,4,4,4,3.5,4,3.5,3.5,3.5,3.5,4,4,3,3,3.5
178,1202160383,3.5,3.5,3.5,3.5,3,2,2,3.5,2,3.5,2.5,3.5,3.5,4,3,3,3.5,2,2.5
179,1202160385,4,3.5,4,3.5,3.5,3.5,4,4,3.5,3.5,2.5,3.5,3.5,3.5,3,3,3.5,4,2.5
180,1202160396,1,3,3,2,2.5,2,2,2.5,3,2,3,2,0,1,0,2,2,2.5,3.5
181,1202160398,3,2.5,2.5,2.5,2.5,1,2.5,3.5,2,2.5,3.5,1,2,2,3,2,2.5,2,2
182,1202160400,1,0,2,2,0,2,0,1,1,1,2,0,0,0,0,0,0,3.5,2
183,1202161228,4,4,4,4,3.5,3.5,4,4,3.5,4,3.5,4,4,3.5,4,3,3.5,4,0
184,1202162004,3,3.5,2,3.5,1,3,2.5,3.5,1,3.5,2,2,2.5,3.5,3.5,3,2.5,2.5,2.5
185,1202162006,3.5,4,4,3.5,3,3.5,4,3.5,2,3.5,2.5,4,3.5,3.5,3,3.5,4,4,3
186,1202162042,4,3.5,3.5,3.5,3.5,3,4,3,3,3.5,3.5,4,3.5,3.5,3.5,3.5,3.5,2.5,3
187,1202162097,3.5,3.5,3.5,3,3.5,2,2,3.5,3,2.5,3,3.5,2.5,2.5,3,3.5,1,3,2.5
188,1202162137,4,3.5,3.5,3.5,3.5,3.5,4,4,3.5,3,3.5,3.5,3.5,3.5,3.5,3.5,4,3.5,2
189,1202162144,3.5,3.5,3.5,4,4,3.5,4,4,3.5,4,3.5,4,4,4,2.5,4,4,3,3
190,1202162175,4,4,4,3.5,2.5,3.5,4,4,3.5,3.5,3,4,4,3.5,4,4,4,4,3
191,1202162198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
192,1202162252,4,3.5,3.5,3.5,3.5,3.5,2,2.5,3,2.5,2.5,3,3.5,3.5,4,3.5,3,2.5,3
193,1202162274,4,2,3,4,2.5,3,3.5,4,3.5,4,2.5,4,4,2.5,3,3.5,3.5,3.5,3
194,1202162310,3.5,3,3.5,3,3,2,2,3,3.5,3,3,3,3.5,3.5,3.5,3.5,3.5,2,3
195,1202162319,3,3.5,2,3.5,3,3.5,3,2.5,2.5,3.5,3,4,3.5,3.5,2,3.5,3.5,3,2.5
196,1202162336,4,3.5,3.5,3.5,3.5,1,3.5,4,4,2.5,3.5,1,3.5,3.5,3.5,3.5,3.5,3,2.5
197,1202162337,4,3.5,3,3.5,3.5,3,2.5,3,3.5,3.5,2.5,3.5,3,3.5,3,3.5,3.5,3,3.5
198,1202162343,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3.5,4,4,4,4
199,1202162356,3.5,3,3.5,2.5,3,2,1,3.5,2,2.5,2,0,3,3,3,3,2.5,3.5,1
200,1202162369,3,3,0,3,3,1,3.5,2.5,2,3,2.5,2,2.5,1,2,2.5,3.5,2.5,2.5
201,1202162376,3,3,2.5,3.5,3.5,3,3,3.5,2.5,3.5,3,3.5,3.5,2.5,2,3.5,4,2.5,2.5
202,1202162378,3,2.5,1,3,3,2,3,3,2,2.5,3.5,3.5,3.5,2,2,3,3.5,2,3
203,1202162384,3.5,3.5,3.5,2.5,2,3,4,4,2.5,3.5,3,2,4,4,3,0,3.5,3.5,0
204,1202162386,2.5,3.5,2.5,3,1,1,2,3,2,2,2,2.5,3.5,3.5,2,2,3.5,2,3.5
205,1202162389,3.5,3.5,3.5,3.5,3.5,2,3,3.5,3,3,3.5,2.5,3,3.5,2,2.5,1,3,2
206,1202163018,4,3.5,3.5,3.5,3.5,4,4,3.5,3.5,3.5,3.5,4,3.5,4,3.5,4,3.5,3.5,3.5
207,1202163060,3,3.5,2.5,3.5,2.5,1,2,3.5,2,3.5,2,0,2.5,3.5,3,2,2.5,2,2
208,1202163099,3,3.5,3.5,3.5,3,2,2,2,2,2.5,2.5,3,3.5,3.5,2,3,3,2,3.5
209,1202163104,2.5,3.5,3.5,4,3.5,0,2,3,3.5,3,2.5,4,3.5,3.5,2,2.5,3.5,2.5,2
210,1202163115,3.5,3.5,3.5,3.5,4,2.5,3,3,3,2.5,2,3.5,3.5,4,3.5,4,3.5,2.5,3
211,1202163119,3.5,3.5,3.5,3.5,4,1,3.5,4,3.5,3.5,2.5,3.5,3.5,3.5,2.5,3.5,3.5,3.5,3.5
212,1202163163,4,3.5,3.5,3.5,3.5,3.5,4,3.5,3,3.5,3,4,3.5,4,3.5,3.5,3.5,2.5,3
213,1202163170,3,3.5,3.5,3.5,2.5,2,3,3.5,2.5,2,3,3,3,3,3.5,3,2,2.5,2
214,1202163220,0,0,0,3,0,0,0,1,0,3.5,3,0,0,0,0,0,0,2,2
215,1202163239,4,3.5,2.5,2.5,3,3.5,3,3.5,2.5,3,2.5,2,3.5,3,3,3,3,3.5,2
216,1202163246,4,3.5,3,3.5,3.5,3,3.5,4,2,3.5,2,3,3.5,4,3.5,3.5,3.5,3,3
217,1202163259,3.5,3.5,4,4,3.5,3.5,4,4,4,3.5,2.5,4,4,3.5,4,4,3.5,3.5,2.5
218,1202163291,3,3,2.5,1,0,1,2.5,2.5,2,3.5,2.5,2,2.5,1,1,0,2,3,3
219,1202163296,3.5,3.5,3,3.5,2,3.5,3.5,3.5,2,3.5,2.5,2.5,3,4,3.5,3.5,3,2,3
